الاسم,السعر,الماركة,رابط_الصورة,رابط_المنتج,sku
انفيكتوس باكوربان للرجال او دي تواليت 100 مل,290.0,PACO RABANNE,https://cdn.salla.sa/jvWnV/4587f376-1c5c-4e38-849f-7741152eb208-1000x1000-hvDFZ6L5psABfdhAwlLnUYvrtfPLMYwGRee27Nuv.png,https://saeedsalah.com/انفيكتوس-باكوربان-للرجال-او-دي-تواليت-100-مل/p514995540,invictus-paco-rabanne-edt-100-ml/p514995540
باكوربان ليدي مليون فابيلوس للنساء او دي برفيوم انتنس 80 مل,362.0,PACO RABANNE,https://cdn.salla.sa/jvWnV/e562e3f4-4c84-4084-b64e-104cff2f6efa-1000x1000-GaGFNroaZZbF3RaSv2HsUByVflLuaAtKM66dZ1Dp.jpg,https://saeedsalah.com/باكوربان-ليدي-مليون-فابيلوس-للنساء-او-دي-برفيوم-انتنس-80-مل/p1289033291,paco-rabanne-lady-million-fabulous-edp-intense-80-ml/p1289033291
باكو رابان ليدي مليون للنساء او دي برفيوم 80 مل,300.0,PACO RABANNE,https://cdn.salla.sa/jvWnV/jnNvKQWNRmxZQttRNTQGmNd0FnqJEyFcmXwxPIIt.jpg,https://saeedsalah.com/ليدي-مليون-باكوربان-للنساء-او-دي-برفيوم-80-مل/p1929967434,lady-million-paco-rabanne-edp-80-ml/p1929967434
ايسي مياكي فيجن ديسي للرجال او دي تواليت 100 مل,280.0,ISSEY MIYAKE,https://cdn.salla.sa/jvWnV/4b88202e-822c-409f-8a54-28a4f924ac40-1000x678.9667896679-AeQvfH3KuJqBoWTPPqf7UQjipEzc2B6HG25BcZOs.png,https://saeedsalah.com/ايسي-مياكي-فيجن-ديسي-للرجال-او-دي-تواليت-100-مل/p556001353,"issey-miyake-fusion-d,issey-for-men-edt-100-ml/p556001353"
إيسي مياكي لو سوبر ماجور دي إيسي إنتنس  أو دي تواليت للرجال 100 مل,260.0,ISSEY MIYAKE,https://cdn.salla.sa/jvWnV/0169100e-0e80-40d6-a882-e08e49d8b948-1000x1000-cnfPMuaBkEKDg8MRDSLyZ4qUh6mGn0PqRgks8BG8.png,https://saeedsalah.com/ايسي-مياكي-ليو-سوبر-ميجور-دي-ايسي-للرجال-انتنس-او-دي-تواليت-100-مل/p1464256840,issey-miyake-l-eau-super-majeure-d-issey-intense-for-men-edt-100-ml/p1464256840
إيسي مياكي لو ديسي بور هوم إنتنس  أو دي تواليت 125 مل,260.0,ISSEY MIYAKE,https://cdn.salla.sa/jvWnV/958ecb84-497d-4d87-92ef-199b8727cd24-1000x1000-HD3MllJzyaHOVqFBNaWpCxqJR2ZceBghloMZ1Uo2.png,https://saeedsalah.com/ايسي-مياكي-انتينس-للرجال-او-دي-تواليت-125-مل/p91859535,"issey-miyake-l,eau-d,issey-intense-p,-homme-edt-125-ml/p91859535"
ايسي مياكي ليو ديزي مزيل عرق او دي برفيوم 100 مل,95.0,ISSEY MIYAKE,https://cdn.salla.sa/jvWnV/f4e18c6c-b87a-424c-a314-b37b537e063d-1000x1000-BGOIsdVPXP1rxVTA0X122iMUOW1Cdt8xd0SUAb9K.png,https://saeedsalah.com/ايسي-مياكي-ليو-ديزي-مزيل-عرق-او-دي-برفيوم-100-مل/p731679566,"issey-miyake-l,eau-d,issey-deodorante-parfumee-100-ml/p731679566"
ايسي مياكي نيوت ديزي بويز اركتيك للرجال او دي تواليت 125 مل,318.0,ISSEY MIYAKE,https://cdn.salla.sa/jvWnV/9379f860-6181-4ea0-bec2-5cdd28d143af-1000x1000-Z5XTS7zfMeDlicKwqAkdWxM3WbLOHmpDwLF7WGpn.png,https://saeedsalah.com/ايسي-مياكي-نيوت-ديزي-بويز-اركتيك-للرجال-او-دي-تواليت-125-مل/p1505127501,"issey-miyake-nuit-d,issey-bois-arctic-edt-125-ml/p1505127501"
ايسي مياكي فيجن ديسي اكستريم انتنس للرجال او دي تواليت 100 مل,262.0,ISSEY MIYAKE,https://cdn.salla.sa/jvWnV/bf6510fc-0e7e-4cef-aa9d-59fb2eeaa7bc-1000x1000-zhKx7E2Pay0TD0pGYaQBHnPvVgNa89nPx5uJkf3R.png,https://saeedsalah.com/ايسي-مياكي-فيجن-ديسي-اكستريم-انتنس-للرجال-او-دي-تواليت-100-مل/p266947916,"issey-miyake-fusion-d,issey-extreme-intense-for-men-edt-100-ml/p266947916"
مجموعة ايسي مياكي فيجن ديسي للرجال او دي تواليت 100 مل + جل ستحمام 50 مل + افتر شيف 50 مل,280.0,ISSEY MIYAKE,https://cdn.salla.sa/jvWnV/XiSaIuP8PwyjrUnLk2yZZlRVGMJdGoEhr37zRiy2.jpg,https://saeedsalah.com/مجموعة-ايسي-مياكي-فيجن-ديسي-للرجال-او-دي-تواليت-100-مل-جل-ستحمام-50-مل-افتر-شيف-50-مل/p839659075,"issey-miyake-fusion-d,issey-set-for-men-edt-100-ml---shower-gel-50-ml---after-shave-balm-50-ml/p839659075"
